"osm_id","lat","long"
"5343856950","31.5416885","34.5053717"
"4972210522","31.572834000000004","34.4798331"
"5820193453","31.2696424","34.261742"
"5820193553","31.5142979","34.4499305"
"4316345500","31.418779100000002","34.3620473"
"5820284053","31.2853032","34.2528009"
"4652247694","31.517173699999997","34.451555299999995"
"4466384892","31.5353092","34.4603989"
"4466384997","31.502578200000002","34.477792"
"4466416596","31.5019968","34.434061299999996"
"4466418798","31.5048236","34.4632304"
"4466418892","31.5072108","34.460443700000006"
"4316412295","31.420157399999997","34.3592408"
"4316412296","31.4209591","34.3591169"
"4316412297","31.4198212","34.3606187"
"6023277685","31.506715500000002","34.4291413"
"5315327621","31.5031858","34.4668402"
"5315327622","31.5069564","34.463307799999995"
"5315327623","31.5255165","34.443173200000004"
"5315327624","31.530421999999998","34.4551908"
"5315327625","31.5270608","34.483677"
"5315327626","31.519639899999998","34.488102399999995"
"5315327627","31.5324849","34.4990347"
"5315327628","31.507898200000003","34.4489488"
"5315327721","31.5189855","34.444433200000006"
"5315327722","31.5085848","34.473926"
"5315327723","31.520382899999998","34.4482436"
"5315327821","31.528591700000003","34.4582945"
"5315327822","31.531623800000002","34.4945027"
"5315327823","31.5380696","34.5372782"
"4466480790","31.5198998","34.441093"
"4466483189","31.523969899999997","34.4461037"
"4316435497","31.404619899999997","34.33835070000001"
"4316435498","31.416946999999997","34.364810600000006"
"4316435499","31.4157064","34.364856200000006"
"4316435594","31.415699699999998","34.366505700000005"
"4316435595","31.4151404","34.3656143"
"4316435596","31.4163027","34.364101899999994"
"4316440702","31.420676","34.3595307"
"4316440792","31.408148399999998","34.3422282"
"4316440793","31.4200471","34.3590977"
"4316440891","31.404903100000002","34.3545325"
"4316440892","31.40636","34.342688700000004"
"4316440990","31.417331199999996","34.3623255"
"4316441090","31.407780300000002","34.3417816"
"4316441091","31.415828100000002","34.3600033"
"5250492224","31.5609058","34.515536499999996"
"4316449689","31.4036614","34.3397248"
"4316449789","31.4056786","34.339921600000004"
"4316449889","31.407301699999998","34.3413599"
"4740581321","31.281299800000003","34.2564951"
"2808523300","31.5136528","34.4252775"
"6167887385","31.4956219","34.435633"
"4302245294","31.5096412","34.4380518"
"5141562422","31.533494800000003","34.469095"
"5141562437","31.538022899999998","34.4665495"
"5323704421","31.5026091","34.4625054"
"5141566423","31.534017699999996","34.472296"
"5141574026","31.5385359","34.4663835"
"1195062824","31.5234436","34.4333598"
"4603932489","31.510225399999996","34.4484028"
"5141578323","31.5360502","34.4722311"
"5141578327","31.532365500000004","34.4702362"
"5141578422","31.534994800000003","34.470521500000004"
"5141578429","31.5339716","34.4728585"
"4209990089","31.521984200000002","34.461649799999996"
"4939031324","31.535289399999996","34.465202500000004"
"6341200288","31.5402878","34.4643393"
"6341200292","31.5081413","34.431861700000006"
"4908646621","31.505718199999997","34.462212799999996"
"3223202064","31.2789725","34.2529633"
"6341210685","31.526336600000004","34.45583010000001"
"5785080754","31.5062826","34.4564207"
"1634494851","31.518328399999998","34.4453561"
"3223211033","31.517228399999997","34.454464200000004"
"3941074633","31.367351899999996","34.2944072"
"5645956421","31.5341995","34.4514613"
"4561371095","31.5463837","34.5237101"
"4561371096","31.542457899999995","34.527637899999995"
"4561371097","31.4957714","34.4844412"
"5785116853","31.5063158","34.456483399999996"
"4639297591","31.510256199999997","34.4585173"
"4266706790","31.5230875","34.4434727"
"4266709190","31.503811199999998","34.466257500000005"
"4639315789","31.5158849","34.4470854"
"4316706291","31.405113699999998","34.3404352"
"5324586424","31.5232548","34.4475066"
"5324587122","31.511112800000003","34.4571566"
"4770115822","31.507432","34.4635107"
"5895525685","31.360637","34.3136795"
"5324593021","31.4498645","34.3902065"
"5324593022","31.533324","34.4999934"
"4316721889","31.4111613","34.348881299999995"
"5021634021","31.5407333","34.469873299999996"
"5324596821","31.5367022","34.4623673"
"5058590421","31.347006300000004","34.3161159"
"4453560290","31.501137699999997","34.4738611"
"4561486292","31.5229086","34.4706847"
"4561515194","31.261474699999997","34.2605873"
"4561515495","31.468120399999997","34.412445500000004"
"4561526492","31.5461572","34.4691141"
"4453609290","31.506847399999998","34.471099200000005"
"4453609489","31.5067549","34.471269899999996"
"4453609589","31.506788300000004","34.468518599999996"
"6145339586","31.536792900000002","34.462379299999995"
"2229042031","31.525612","34.5812831"
"4210637190","31.516490100000002","34.4552552"
"4376215693","31.519273","34.442161"
"4549592190","31.5257836","34.447478600000004"
"5527742921","31.5444577","34.467063700000004"
"5112764523","31.343963899999995","34.322788200000005"
"4385214091","31.520427299999998","34.440995"
"4561703089","31.532666","34.4574967"
"5325083123","31.4893386","34.4677044"
"5325083124","31.512295299999998","34.4728239"
"5325083125","31.519589899999996","34.4880122"
"5325083126","31.5240685","34.4922059"
"5325083127","31.531714500000003","34.4945816"
"5325083128","31.528592","34.4537013"
"5325083129","31.5303907","34.4551929"
"5325091821","31.4893212","34.4676353"
"5325091921","31.512233600000002","34.47274"
"5325091923","31.5357739","34.4485027"
"3299036182","31.5202653","34.4916924"
"4317146694","31.4025652","34.345653999999996"
"5325106723","31.502137899999997","34.471654"
"5325106724","31.5183988","34.4658988"
"5325106725","31.5252167","34.489321000000004"
"5325106726","31.526882399999998","34.483891899999996"
"5325106727","31.533551799999998","34.500754799999996"
"5325107321","31.532500300000002","34.498925299999996"
"5325107322","31.5087891","34.473872"
"5325107323","31.528586100000002","34.458199900000004"
"4317155791","31.397265500000003","34.341514200000006"
"6176013085","31.534363","34.4598794"
"5325107721","31.533089500000003","34.4595301"
"4317174890","31.4016828","34.3436769"
