osm_subject,amenity,ar,en,fr
https://www.openstreetmap.org/node/4453560290,clinic,عيادة البراءة التمريضية,,
https://www.openstreetmap.org/node/4561486292,kindergarten,روضة منارة العلم,Lighthouse of Science Kindergarten,
https://www.openstreetmap.org/node/4561515194,community_centre,مجمع الكرامة للثقافة والفنون,,
https://www.openstreetmap.org/node/4561515495,pharmacy,صيدلية المغراقة المركزية,صيدلية المغراقة المركزي,
https://www.openstreetmap.org/node/4561526492,kindergarten,روضة براعم الكرامة,روضة براعم الكرام,
https://www.openstreetmap.org/node/4453609290,fire_station,الدفاع المدني,,
https://www.openstreetmap.org/node/4453609489,fuel,محطة الحلو للبترول,,
https://www.openstreetmap.org/node/4453609589,restaurant,مطعم رامي الشوا للمأكولات الشعبية,,
https://www.openstreetmap.org/node/6145339586,pharmacy,,,
https://www.openstreetmap.org/node/2229042031,fuel,,,
https://www.openstreetmap.org/node/4210637190,bank,,,
https://www.openstreetmap.org/node/4376215693,cafe,هاني بي Honey Bee Coffee,Honey Bee Coffee,
https://www.openstreetmap.org/node/4549592190,pharmacy,صيدلية الزنط 3,Al Zant Pharmacy Center 3,
https://www.openstreetmap.org/node/5527742921,ice_cream,,Ice Roll,
https://www.openstreetmap.org/node/5112764523,place_of_worship,مسجد ابو عبيدة,AbuObaeda masjed,
https://www.openstreetmap.org/node/4385214091,school,مدرسة المتميزون,,
https://www.openstreetmap.org/node/4561703089,doctors,,,
https://www.openstreetmap.org/node/5325083123,pharmacy,,,
https://www.openstreetmap.org/node/5325083124,pharmacy,,,
https://www.openstreetmap.org/node/5325083125,pharmacy,,,
https://www.openstreetmap.org/node/5325083126,pharmacy,,,
https://www.openstreetmap.org/node/5325083127,pharmacy,,,
https://www.openstreetmap.org/node/5325083128,pharmacy,,,
https://www.openstreetmap.org/node/5325083129,pharmacy,,,
https://www.openstreetmap.org/node/5325091821,pharmacy,,,
https://www.openstreetmap.org/node/5325091921,pharmacy,,,
https://www.openstreetmap.org/node/5325091923,pharmacy,,,
https://www.openstreetmap.org/node/3299036182,place_of_worship,,,
https://www.openstreetmap.org/node/4317146694,waste_baske,,,
https://www.openstreetmap.org/node/5325106723,pharmacy,,,
https://www.openstreetmap.org/node/5325106724,pharmacy,,,
https://www.openstreetmap.org/node/5325106725,pharmacy,,,
https://www.openstreetmap.org/node/5325106726,pharmacy,,,
https://www.openstreetmap.org/node/5325106727,pharmacy,,,
https://www.openstreetmap.org/node/5325107321,pharmacy,,,
https://www.openstreetmap.org/node/5325107322,pharmacy,,,
https://www.openstreetmap.org/node/5325107323,pharmacy,,,
https://www.openstreetmap.org/node/4317155791,waste_baske,,,
https://www.openstreetmap.org/node/6176013085,restaurant,,,
https://www.openstreetmap.org/node/5325107721,pharmacy,,,
https://www.openstreetmap.org/node/4317174890,waste_baske,,,
https://www.openstreetmap.org/node/4317174891,waste_baske,,,
https://www.openstreetmap.org/node/4317178490,waste_baske,,,
https://www.openstreetmap.org/node/4317188589,waste_baske,,,
https://www.openstreetmap.org/node/4317188590,waste_baske,,,
https://www.openstreetmap.org/node/2393478155,restaurant,,,
https://www.openstreetmap.org/node/2393478165,restaurant,,,
https://www.openstreetmap.org/node/5325330024,dentist,المركز العالمي للأسنان فرع رفح,Global Dental Center Rafah Branch,
https://www.openstreetmap.org/node/5325331821,dentist,,Global Dental Center Khanyounis Branch,
https://www.openstreetmap.org/node/5708578022,place_of_worship,,,
https://www.openstreetmap.org/node/5325353421,dentist,,Global Dental Center Beit Hanoun Branch,
https://www.openstreetmap.org/node/5325361621,doctors,,Prof. Dr. Mohammed Abuharbid,
https://www.openstreetmap.org/node/4571426590,bank,مؤسسة فاتن ( فرع النصيرات ),Faten Co. ( Nusairat branch,
https://www.openstreetmap.org/node/4571426591,bank,مؤسسة فاتن ( فرع خانيونس ),Faten Co. ( Khan Younis Branch,
https://www.openstreetmap.org/node/4304387897,waste_baske,,,
https://www.openstreetmap.org/node/4304387898,waste_baske,,,
https://www.openstreetmap.org/node/4267972489,pharmacy,,,
https://www.openstreetmap.org/node/4304408693,waste_baske,,,
https://www.openstreetmap.org/node/4304443293,waste_baske,,,
https://www.openstreetmap.org/node/4304443294,waste_baske,,,
https://www.openstreetmap.org/node/4304443295,waste_baske,,,
https://www.openstreetmap.org/node/4550544990,clinic,عيادة خان يونس,KH/y H,
https://www.openstreetmap.org/node/4317900894,waste_baske,,,
https://www.openstreetmap.org/node/4317900992,waste_baske,,,
https://www.openstreetmap.org/node/4317900993,waste_baske,,,
https://www.openstreetmap.org/node/4317900994,waste_baske,,,
https://www.openstreetmap.org/node/4317900995,waste_baske,,,
https://www.openstreetmap.org/node/4317900996,waste_baske,,,
https://www.openstreetmap.org/node/4317900997,waste_baske,,,
https://www.openstreetmap.org/node/4317901192,waste_baske,,,
https://www.openstreetmap.org/node/4317901193,waste_baske,,,
https://www.openstreetmap.org/node/4304450094,waste_baske,,,
https://www.openstreetmap.org/node/4304450190,waste_baske,,,
https://www.openstreetmap.org/node/4304451299,waste_baske,,,
https://www.openstreetmap.org/node/4304451391,waste_baske,,,
