"id","lat","long"
"http://sws.geonames.org/281216/","32.31667","35.18333"
"http://sws.geonames.org/281217/","31.47475","35.13514"
"http://sws.geonames.org/281218/","31.47765","35.14089"
"http://sws.geonames.org/281219/","32.45077","35.12958"
"http://sws.geonames.org/281220/","32.50241","35.16242"
"http://sws.geonames.org/281221/","32.22698","35.31949"
"http://sws.geonames.org/281222/","32","35.21667"
"http://sws.geonames.org/281223/","32.29468","35.28436"
"http://sws.geonames.org/281224/","32.19519","35.07789"
"http://sws.geonames.org/281225/","32.38109","35.04018"
"http://sws.geonames.org/281226/","32.3856","35.05122"
"http://sws.geonames.org/281227/","32.13698","35.18595"
"http://sws.geonames.org/281228/","32.15634","35.46506"
"http://sws.geonames.org/281229/","31.88209","35.10817"
"http://sws.geonames.org/281230/","32.47206","35.32062"
"http://sws.geonames.org/281231/","32.18923","35.10742"
"http://sws.geonames.org/281232/","32.13344","35.25368"
"http://sws.geonames.org/281233/","32.08418","35.0322"
"http://sws.geonames.org/281234/","31.6","35.16667"
"http://sws.geonames.org/281235/","32.37596","35.23166"
"http://sws.geonames.org/281236/","32.24611","35.2265"
"http://sws.geonames.org/281237/","31.46253","35.17964"
"http://sws.geonames.org/281238/","32.42553","35.31645"
"http://sws.geonames.org/281239/","32.12269","35.25694"
"http://sws.geonames.org/281240/","31.67361","35.25662"
"http://sws.geonames.org/281241/","31.98516","35.09252"
"http://sws.geonames.org/281242/","32.03261","35.07199"
"http://sws.geonames.org/281243/","31.99184","35.09927"
"http://sws.geonames.org/281244/","31.56902","35.08327"
"http://sws.geonames.org/281245/","31.74465","35.36264"
"http://sws.geonames.org/281246/","31.74379","35.36402"
"http://sws.geonames.org/281247/","32.42314","35.29914"
"http://sws.geonames.org/281249/","32.07721","35.43325"
"http://sws.geonames.org/281250/","31.6663","35.14737"
"http://sws.geonames.org/281251/","31.3705","34.99612"
"http://sws.geonames.org/281252/","32.22235","35.38359"
"http://sws.geonames.org/281253/","32.05018","35.0795"
"http://sws.geonames.org/281254/","32.05158","35.40427"
"http://sws.geonames.org/281255/","32.0245","35.50455"
"http://sws.geonames.org/281256/","32.12828","35.37561"
"http://sws.geonames.org/281257/","32.03685","35.47504"
"http://sws.geonames.org/281258/","32.11667","35"
"http://sws.geonames.org/281259/","31.99695","35.11029"
"http://sws.geonames.org/281260/","31.97379","35.34903"
"http://sws.geonames.org/281261/","32.19537","35.14566"
"http://sws.geonames.org/281262/","31.72719","35.23923"
"http://sws.geonames.org/281263/","32.34375","35.5243"
"http://sws.geonames.org/281264/","31.75","35.25"
"http://sws.geonames.org/281265/","32.43333","35.26667"
"http://sws.geonames.org/281266/","32.34029","35.02129"
"http://sws.geonames.org/281267/","31.93333","35.28333"
"http://sws.geonames.org/281268/","32.31341","35.08137"
"http://sws.geonames.org/281269/","32.10472","35.30023"
"http://sws.geonames.org/281270/","32.004","35.3398"
"http://sws.geonames.org/281271/","32.4898","35.31999"
"http://sws.geonames.org/281272/","32.29662","35.26429"
